sale_id,sale_id.1,branch,city,customer_type,gender,product_name,product_category,unit_price,quantity,tax,total_price,reward_points,reward_points.1,sale_date,payment_method,rating
42,42,Chicago,Chicago,Normal,Female,Electronics,Electronics,93.88,7.0,32.86,690.02,0.0,0.0,1/5/2024,Credit card,7.3
43,43,New York,New York,Normal,Female,Health & Beauty,Health & Beauty,78.89,7.0,27.61,579.84,0.0,0.0,1/5/2024,Ewallet,7.5
44,44,Los Angeles,Los Angeles,Member,Female,Fashion & Accs,Fashion & Accs,73.96,1.0,3.7,77.66,0.0,0.0,1/5/2024,Credit card,5.0
45,45,Chicago,Chicago,Member,Male,Home & Lifestyle,Home & Lifestyle,62.65,4.0,12.53,263.13,0.0,0.0,1/5/2024,Cash,4.2
46,46,Chicago,Chicago,Normal,Female,Home & Lifestyle,Home & Lifestyle,42.91,5.0,10.73,225.28,0.0,0.0,1/5/2024,Ewallet,6.1
47,47,Los Angeles,Los Angeles,Normal,Male,Home & Lifestyle,Home & Lifestyle,62.19,4.0,12.44,261.2,0.0,0.0,1/6/2024,Ewallet,4.3
48,48,New York,New York,Normal,Male,Food & Beverages,Food & Beverages,89.48,10.0,44.74,939.54,0.0,0.0,1/6/2024,Credit card,9.6
49,49,Chicago,Chicago,Normal,Female,Sports & Travel,Sports & Travel,15.34,1.0,0.77,16.11,0.0,0.0,1/6/2024,Cash,6.5
50,50,Los Angeles,Los Angeles,Member,Male,Health & Beauty,Health & Beauty,80.47,9.0,36.21,760.44,0.0,0.0,1/6/2024,Cash,9.2
51,51,Chicago,Chicago,Member,Male,Home & Lifestyle,Home & Lifestyle,58.9,8.0,23.56,494.76,0.0,0.0,1/6/2024,Cash,8.9
52,52,New York,New York,Normal,Female,Fashion & Accs,Fashion & Accs,81.68,4.0,16.34,343.06,0.0,0.0,1/6/2024,Cash,9.1
53,53,Chicago,Chicago,Normal,Female,Food & Beverages,Food & Beverages,40.94,5.0,10.24,214.94,0.0,0.0,1/6/2024,Ewallet,9.9
54,54,Chicago,Chicago,Normal,Male,Sports & Travel,Sports & Travel,64.59,4.0,12.92,271.28,0.0,0.0,1/6/2024,Ewallet,9.3
55,55,Chicago,Chicago,Normal,Female,Fashion & Accs,Fashion & Accs,42.57,7.0,14.9,312.89,0.0,0.0,1/6/2024,Cash,6.8
56,56,Los Angeles,Los Angeles,Normal,Male,Fashion & Accs,Fashion & Accs,47.97,7.0,16.79,352.58,0.0,0.0,1/7/2024,Cash,6.2
57,57,New York,New York,Member,Female,Home & Lifestyle,Home & Lifestyle,21.82,10.0,10.91,229.11,0.0,0.0,1/7/2024,Cash,7.1
58,58,New York,New York,Normal,Male,Food & Beverages,Food & Beverages,27.22,3.0,4.08,85.74,0.0,0.0,1/7/2024,Cash,7.3
59,59,New York,New York,Member,Female,Sports & Travel,Sports & Travel,68.12,1.0,3.41,71.53,0.0,0.0,1/7/2024,Ewallet,6.8
60,60,Chicago,Chicago,Member,Male,Electronics,Electronics,77.72,4.0,15.54,326.42,0.0,0.0,1/7/2024,Credit card,8.8
61,61,Chicago,Chicago,Member,Female,Home & Lifestyle,Home & Lifestyle,21.54,9.0,9.69,203.55,0.0,0.0,1/7/2024,Credit card,8.8
62,62,Los Angeles,Los Angeles,Member,Female,Fashion & Accs,Fashion & Accs,97.61,6.0,29.28,614.94,0.0,0.0,1/7/2024,Ewallet,9.9
63,63,Chicago,Chicago,Normal,Male,Sports & Travel,Sports & Travel,60.95,9.0,27.43,575.98,0.0,0.0,1/7/2024,Credit card,6.0
64,64,Los Angeles,Los Angeles,Member,Female,Food & Beverages,Food & Beverages,89.14,4.0,17.83,374.39,0.0,0.0,1/7/2024,Credit card,7.8
65,65,New York,New York,Member,Female,Fashion & Accs,Fashion & Accs,51.89,7.0,18.16,381.39,0.0,0.0,1/8/2024,Cash,4.5
66,66,Los Angeles,Los Angeles,Member,Female,Food & Beverages,Food & Beverages,33.21,10.0,16.6,348.7,0.0,0.0,1/8/2024,Ewallet,6.0
67,67,New York,New York,Normal,Female,Fashion & Accs,Fashion & Accs,31.73,9.0,14.28,299.85,0.0,0.0,1/8/2024,Credit card,5.9
68,68,Los Angeles,Los Angeles,Member,Female,Home & Lifestyle,Home & Lifestyle,49.1,2.0,4.91,103.11,0.0,0.0,1/8/2024,Credit card,6.4
69,69,New York,New York,Normal,Female,Home & Lifestyle,Home & Lifestyle,45.38,4.0,9.08,190.6,0.0,0.0,1/8/2024,Credit card,8.7
70,70,New York,New York,Member,Male,Home & Lifestyle,Home & Lifestyle,55.57,3.0,8.34,175.05,0.0,0.0,1/8/2024,Credit card,5.9
71,71,New York,New York,Member,Female,Food & Beverages,Food & Beverages,68.54,8.0,27.42,575.74,0.0,0.0,1/8/2024,Ewallet,8.5
72,72,Los Angeles,Los Angeles,Member,Male,Fashion & Accs,Fashion & Accs,65.23,10.0,32.62,684.92,0.0,0.0,1/8/2024,Credit card,5.2
73,73,New York,New York,Normal,Male,Fashion & Accs,Fashion & Accs,12.78,1.0,0.64,13.42,0.0,0.0,1/8/2024,Ewallet,9.5
74,74,Los Angeles,Los Angeles,Member,Female,Food & Beverages,Food & Beverages,74.6,10.0,37.3,783.3,0.0,0.0,1/8/2024,Cash,9.5
75,75,Los Angeles,Los Angeles,Member,Female,Sports & Travel,Sports & Travel,64.83,2.0,6.48,136.14,0.0,0.0,1/8/2024,Credit card,8.0
76,76,Chicago,Chicago,Normal,Male,Sports & Travel,Sports & Travel,37.14,5.0,9.28,194.98,0.0,0.0,1/8/2024,Ewallet,5.0
77,77,Chicago,Chicago,Normal,Female,Electronics,Electronics,50.23,4.0,10.05,210.97,0.0,0.0,1/8/2024,Cash,9.0
78,78,Chicago,Chicago,Member,Male,Sports & Travel,Sports & Travel,12.76,2.0,1.28,26.8,0.0,0.0,1/8/2024,Ewallet,7.8
79,79,Chicago,Chicago,Member,Female,Electronics,Electronics,79.59,3.0,11.94,250.71,0.0,0.0,1/8/2024,Cash,6.6
80,80,Los Angeles,Los Angeles,Member,Female,Sports & Travel,Sports & Travel,48.5,3.0,7.28,152.78,0.0,0.0,1/8/2024,Cash,6.7
81,81,New York,New York,Member,Male,Food & Beverages,Food & Beverages,24.31,3.0,3.65,76.58,0.0,0.0,1/8/2024,Credit card,4.3
82,82,New York,New York,Member,Female,Food & Beverages,Food & Beverages,72.88,9.0,32.8,688.72,0.0,0.0,1/8/2024,Cash,4.0
83,83,Los Angeles,Los Angeles,Member,Female,Sports & Travel,Sports & Travel,11.85,8.0,4.74,99.54,0.0,0.0,1/9/2024,Cash,4.1
84,84,New York,New York,Normal,Male,Electronics,Electronics,96.37,7.0,33.73,708.32,0.0,0.0,1/9/2024,Cash,6.0
85,85,New York,New York,Normal,Female,Fashion & Accs,Fashion & Accs,49.32,6.0,14.8,310.72,0.0,0.0,1/9/2024,Ewallet,7.1
86,86,Los Angeles,Los Angeles,Member,Female,Home & Lifestyle,Home & Lifestyle,21.9,3.0,3.28,68.98,0.0,0.0,1/9/2024,Ewallet,4.7
87,87,Chicago,Chicago,Member,Male,Fashion & Accs,Fashion & Accs,38.54,5.0,9.64,202.34,0.0,0.0,1/9/2024,Ewallet,5.6
88,88,New York,New York,Member,Male,Fashion & Accs,Fashion & Accs,49.04,9.0,22.07,463.43,0.0,0.0,1/9/2024,Credit card,8.6
89,89,New York,New York,Normal,Female,Home & Lifestyle,Home & Lifestyle,15.8,10.0,7.9,165.9,0.0,0.0,1/9/2024,Cash,7.8
90,90,New York,New York,Normal,Female,Sports & Travel,Sports & Travel,95.44,10.0,47.72,1002.12,0.0,0.0,1/9/2024,Cash,5.2
91,91,Los Angeles,Los Angeles,Normal,Female,Fashion & Accs,Fashion & Accs,79.86,7.0,27.95,586.97,0.0,0.0,1/10/2024,Credit card,5.5
92,92,New York,New York,Member,Male,Electronics,Electronics,74.79,5.0,18.7,392.65,0.0,0.0,1/10/2024,Cash,4.9
93,93,Chicago,Chicago,Member,Female,Health & Beauty,Health & Beauty,36.26,2.0,3.63,76.15,0.0,0.0,1/10/2024,Credit card,7.2
94,94,Los Angeles,Los Angeles,Normal,Female,Electronics,Electronics,13.78,4.0,2.76,57.88,0.0,0.0,1/10/2024,Ewallet,9.0
95,95,New York,New York,Member,Male,Food & Beverages,Food & Beverages,50.49,9.0,22.72,477.13,0.0,0.0,1/10/2024,Cash,5.4
96,96,Chicago,Chicago,Member,Male,Home & Lifestyle,Home & Lifestyle,78.38,6.0,23.51,493.79,0.0,0.0,1/10/2024,Ewallet,5.8
97,97,Chicago,Chicago,Member,Female,Sports & Travel,Sports & Travel,21.98,7.0,7.69,161.55,0.0,0.0,1/10/2024,Ewallet,5.1
98,98,New York,New York,Normal,Female,Sports & Travel,Sports & Travel,83.14,7.0,29.1,611.08,0.0,0.0,1/10/2024,Credit card,6.6
99,99,Los Angeles,Los Angeles,Normal,Male,Sports & Travel,Sports & Travel,83.78,8.0,33.51,703.75,0.0,0.0,1/10/2024,Cash,5.1
100,100,Chicago,Chicago,Normal,Male,Food & Beverages,Food & Beverages,24.94,9.0,11.22,235.68,0.0,0.0,1/11/2024,Credit card,5.6
101,101,Chicago,Chicago,Normal,Male,Fashion & Accs,Fashion & Accs,89.69,1.0,4.48,94.17,0.0,0.0,1/11/2024,Ewallet,4.9
102,102,New York,New York,Member,Female,Food & Beverages,Food & Beverages,36.77,7.0,12.87,270.26,0.0,0.0,1/11/2024,Cash,7.4
103,103,Chicago,Chicago,Member,Male,Sports & Travel,Sports & Travel,82.33,4.0,16.47,345.79,0.0,0.0,1/11/2024,Credit card,7.5
104,104,New York,New York,Member,Female,Sports & Travel,Sports & Travel,87.16,2.0,8.72,183.04,0.0,0.0,1/11/2024,Credit card,9.7
105,105,Chicago,Chicago,Member,Male,Food & Beverages,Food & Beverages,48.5,6.0,14.55,305.55,0.0,0.0,1/11/2024,Ewallet,9.4
106,106,Chicago,Chicago,Normal,Female,Home & Lifestyle,Home & Lifestyle,96.52,6.0,28.96,608.08,0.0,0.0,1/11/2024,Cash,4.5
107,107,Chicago,Chicago,Normal,Male,Food & Beverages,Food & Beverages,13.79,5.0,3.45,72.4,0.0,0.0,1/11/2024,Credit card,7.8
108,108,New York,New York,Member,Male,Sports & Travel,Sports & Travel,57.12,7.0,19.99,419.83,0.0,0.0,1/12/2024,Credit card,6.5
109,109,Los Angeles,Los Angeles,Normal,Female,Health & Beauty,Health & Beauty,57.22,2.0,5.72,120.16,0.0,0.0,1/12/2024,Ewallet,8.3
110,110,Los Angeles,Los Angeles,Member,Male,Electronics,Electronics,91.56,8.0,36.62,769.1,0.0,0.0,1/12/2024,Ewallet,6.0
111,111,Los Angeles,Los Angeles,Member,Female,Health & Beauty,Health & Beauty,27.07,1.0,1.35,28.42,0.0,0.0,1/12/2024,Credit card,5.3
112,112,Los Angeles,Los Angeles,Normal,Female,Fashion & Accs,Fashion & Accs,83.25,10.0,41.62,874.12,0.0,0.0,1/12/2024,Credit card,4.4
113,113,Chicago,Chicago,Member,Male,Electronics,Electronics,88.67,10.0,44.34,931.04,0.0,0.0,1/12/2024,Ewallet,7.3
114,114,Chicago,Chicago,Normal,Female,Fashion & Accs,Fashion & Accs,29.42,10.0,14.71,308.91,0.0,0.0,1/12/2024,Ewallet,8.9
115,115,Chicago,Chicago,Member,Female,Fashion & Accs,Fashion & Accs,20.01,9.0,9.0,189.09,0.0,0.0,1/12/2024,Credit card,5.7
116,116,Los Angeles,Los Angeles,Normal,Male,Sports & Travel,Sports & Travel,23.01,6.0,6.9,144.96,0.0,0.0,1/12/2024,Ewallet,7.9
117,117,New York,New York,Normal,Male,Home & Lifestyle,Home & Lifestyle,97.5,10.0,48.75,1023.75,0.0,0.0,1/12/2024,Ewallet,8.0
118,118,Los Angeles,Los Angeles,Normal,Female,Home & Lifestyle,Home & Lifestyle,51.07,7.0,17.87,375.36,0.0,0.0,1/12/2024,Cash,7.0
119,119,Los Angeles,Los Angeles,Member,Male,Sports & Travel,Sports & Travel,72.6,6.0,21.78,457.38,0.0,0.0,1/13/2024,Cash,6.9
120,120,Chicago,Chicago,Member,Male,Home & Lifestyle,Home & Lifestyle,81.01,3.0,12.15,255.18,0.0,0.0,1/13/2024,Credit card,9.3
121,121,New York,New York,Member,Female,Fashion & Accs,Fashion & Accs,74.29,1.0,3.71,78.0,0.0,0.0,1/13/2024,Cash,5.0
122,122,Chicago,Chicago,Normal,Female,Electronics,Electronics,23.46,6.0,7.04,147.8,0.0,0.0,1/13/2024,Ewallet,6.4
123,123,Chicago,Chicago,Member,Female,Health & Beauty,Health & Beauty,39.62,9.0,17.83,374.41,0.0,0.0,1/13/2024,Credit card,6.8
124,124,New York,New York,Member,Female,Food & Beverages,Food & Beverages,21.04,4.0,4.21,88.37,0.0,0.0,1/13/2024,Cash,7.6
125,125,Los Angeles,Los Angeles,Member,Male,Fashion & Accs,Fashion & Accs,59.86,2.0,5.99,125.71,0.0,0.0,1/13/2024,Ewallet,6.7
126,126,Los Angeles,Los Angeles,Normal,Male,Food & Beverages,Food & Beverages,72.39,2.0,7.24,152.02,0.0,0.0,1/13/2024,Credit card,8.1
127,127,Chicago,Chicago,Normal,Male,Sports & Travel,Sports & Travel,45.58,7.0,15.95,335.01,0.0,0.0,1/13/2024,Cash,5.0
128,128,New York,New York,Normal,Female,Electronics,Electronics,41.65,10.0,20.83,437.33,0.0,0.0,1/13/2024,Credit card,5.4
129,129,New York,New York,Member,Male,Health & Beauty,Health & Beauty,60.47,3.0,9.07,190.48,0.0,0.0,1/14/2024,Credit card,5.6
130,130,Los Angeles,Los Angeles,Normal,Female,Sports & Travel,Sports & Travel,34.81,1.0,1.74,36.55,0.0,0.0,1/14/2024,Credit card,7.0
131,131,Los Angeles,Los Angeles,Member,Female,Fashion & Accs,Fashion & Accs,18.08,4.0,3.62,75.94,0.0,0.0,1/14/2024,Credit card,9.5
132,132,Chicago,Chicago,Member,Female,Fashion & Accs,Fashion & Accs,96.7,5.0,24.18,507.68,0.0,0.0,1/14/2024,Ewallet,7.0
133,133,Los Angeles,Los Angeles,Normal,Female,Food & Beverages,Food & Beverages,99.69,5.0,24.92,523.37,0.0,0.0,1/14/2024,Cash,9.9
134,134,Los Angeles,Los Angeles,Normal,Female,Health & Beauty,Health & Beauty,17.75,1.0,0.89,18.64,0.0,0.0,1/14/2024,Cash,8.6
135,135,New York,New York,Normal,Male,Food & Beverages,Food & Beverages,84.83,1.0,4.24,89.07,0.0,0.0,1/14/2024,Ewallet,8.8
136,136,New York,New York,Normal,Male,Health & Beauty,Health & Beauty,53.19,7.0,18.62,390.95,0.0,0.0,1/14/2024,Ewallet,5.0
137,137,Los Angeles,Los Angeles,Normal,Male,Food & Beverages,Food & Beverages,73.06,7.0,25.57,536.99,0.0,0.0,1/14/2024,Credit card,4.2
138,138,New York,New York,Normal,Male,Food & Beverages,Food & Beverages,31.77,4.0,6.35,133.43,0.0,0.0,1/14/2024,Ewallet,6.2
139,139,New York,New York,Member,Female,Electronics,Electronics,44.84,9.0,20.18,423.74,0.0,0.0,1/14/2024,Credit card,7.5
140,140,Chicago,Chicago,Member,Male,Fashion & Accs,Fashion & Accs,56.04,10.0,28.02,588.42,0.0,0.0,1/14/2024,Ewallet,4.4
141,141,New York,New York,Normal,Male,Electronics,Electronics,61.41,7.0,21.49,451.36,0.0,0.0,1/14/2024,Cash,9.8
142,142,Chicago,Chicago,Member,Female,Home & Lifestyle,Home & Lifestyle,89.21,9.0,40.14,843.03,0.0,0.0,1/15/2024,Credit card,6.5
143,143,Los Angeles,Los Angeles,Normal,Male,Electronics,Electronics,75.66,5.0,18.92,397.22,0.0,0.0,1/15/2024,Ewallet,7.8
144,144,Los Angeles,Los Angeles,Normal,Female,Home & Lifestyle,Home & Lifestyle,97.37,10.0,48.68,1022.38,0.0,0.0,1/15/2024,Credit card,4.9
145,145,Chicago,Chicago,Normal,Female,Sports & Travel,Sports & Travel,19.1,7.0,6.69,140.39,0.0,0.0,1/15/2024,Cash,9.7
146,146,Chicago,Chicago,Member,Male,Food & Beverages,Food & Beverages,83.77,2.0,8.38,175.92,0.0,0.0,1/15/2024,Credit card,7.0
147,147,New York,New York,Normal,Male,Electronics,Electronics,55.87,10.0,27.94,586.64,0.0,0.0,1/15/2024,Cash,5.8
148,148,Los Angeles,Los Angeles,Member,Male,Health & Beauty,Health & Beauty,66.47,10.0,33.24,697.94,0.0,0.0,1/15/2024,Credit card,5.0
149,149,Los Angeles,Los Angeles,Member,Female,Sports & Travel,Sports & Travel,93.72,6.0,28.12,590.44,0.0,0.0,1/15/2024,Cash,4.5
150,150,Chicago,Chicago,Normal,Female,Home & Lifestyle,Home & Lifestyle,11.43,6.0,3.43,72.01,0.0,0.0,1/15/2024,Cash,7.7
151,151,Los Angeles,Los Angeles,Normal,Female,Fashion & Accs,Fashion & Accs,73.52,2.0,7.35,154.39,0.0,0.0,1/15/2024,Ewallet,4.6
152,152,New York,New York,Member,Male,Health & Beauty,Health & Beauty,81.23,7.0,28.43,597.04,0.0,0.0,1/15/2024,Cash,9.0
153,153,New York,New York,Member,Male,Food & Beverages,Food & Beverages,17.44,5.0,4.36,91.56,0.0,0.0,1/15/2024,Cash,8.1
154,154,Chicago,Chicago,Normal,Female,Electronics,Electronics,60.88,9.0,27.4,575.32,0.0,0.0,1/15/2024,Ewallet,4.7
155,155,New York,New York,Normal,Male,Home & Lifestyle,Home & Lifestyle,95.58,10.0,47.79,1003.59,0.0,0.0,1/16/2024,Cash,4.8
156,156,Los Angeles,Los Angeles,Member,Female,Sports & Travel,Sports & Travel,90.74,7.0,31.76,666.94,0.0,0.0,1/16/2024,Credit card,6.2
157,157,New York,New York,Normal,Female,Food & Beverages,Food & Beverages,93.26,9.0,41.97,881.31,0.0,0.0,1/16/2024,Cash,8.8
158,158,New York,New York,Member,Male,Sports & Travel,Sports & Travel,17.14,7.0,6.0,125.98,0.0,0.0,1/16/2024,Credit card,7.9
159,159,Los Angeles,Los Angeles,Normal,Male,Fashion & Accs,Fashion & Accs,39.21,4.0,7.84,164.68,0.0,0.0,1/16/2024,Credit card,9.0
160,160,Chicago,Chicago,Member,Male,Home & Lifestyle,Home & Lifestyle,63.56,10.0,31.78,667.38,0.0,0.0,1/16/2024,Cash,4.3
161,161,New York,New York,Member,Female,Sports & Travel,Sports & Travel,15.49,2.0,1.55,32.53,0.0,0.0,1/16/2024,Cash,6.3
162,162,Los Angeles,Los Angeles,Member,Male,Fashion & Accs,Fashion & Accs,51.36,1.0,2.57,53.93,0.0,0.0,1/16/2024,Ewallet,5.2
163,163,Chicago,Chicago,Normal,Female,Sports & Travel,Sports & Travel,93.18,2.0,9.32,195.68,0.0,0.0,1/16/2024,Credit card,8.5
164,164,New York,New York,Normal,Female,Food & Beverages,Food & Beverages,52.6,9.0,23.67,497.07,0.0,0.0,1/16/2024,Cash,7.6
165,165,Los Angeles,Los Angeles,Normal,Female,Sports & Travel,Sports & Travel,40.62,2.0,4.06,85.3,0.0,0.0,1/17/2024,Credit card,4.1
166,166,Chicago,Chicago,Normal,Female,Food & Beverages,Food & Beverages,81.21,10.0,40.6,852.7,0.0,0.0,1/17/2024,Credit card,6.3
167,167,Los Angeles,Los Angeles,Member,Male,Food & Beverages,Food & Beverages,57.89,2.0,5.79,121.57,0.0,0.0,1/17/2024,Ewallet,8.9
168,168,Chicago,Chicago,Normal,Male,Home & Lifestyle,Home & Lifestyle,21.52,6.0,6.46,135.58,0.0,0.0,1/17/2024,Credit card,9.4
169,169,Los Angeles,Los Angeles,Member,Female,Home & Lifestyle,Home & Lifestyle,94.59,7.0,33.11,695.24,0.0,0.0,1/17/2024,Credit card,4.9
170,170,New York,New York,Member,Female,Health & Beauty,Health & Beauty,62.82,2.0,6.28,131.92,0.0,0.0,1/17/2024,Ewallet,4.9
171,171,New York,New York,Member,Male,Food & Beverages,Food & Beverages,65.65,2.0,6.57,137.87,0.0,0.0,1/17/2024,Cash,6.0
172,172,New York,New York,Member,Male,Sports & Travel,Sports & Travel,71.92,5.0,17.98,377.58,0.0,0.0,1/17/2024,Credit card,4.3
173,173,Chicago,Chicago,Normal,Male,Sports & Travel,Sports & Travel,25.7,3.0,3.86,80.96,0.0,0.0,1/17/2024,Ewallet,6.1
174,174,Los Angeles,Los Angeles,Member,Female,Home & Lifestyle,Home & Lifestyle,86.72,1.0,4.34,91.06,0.0,0.0,1/17/2024,Ewallet,7.9
175,175,Chicago,Chicago,Normal,Male,Sports & Travel,Sports & Travel,58.91,7.0,20.62,432.99,0.0,0.0,1/17/2024,Ewallet,9.7
176,176,Chicago,Chicago,Member,Female,Fashion & Accs,Fashion & Accs,88.15,3.0,13.22,277.67,0.0,0.0,1/18/2024,Ewallet,7.9
177,177,New York,New York,Normal,Female,Health & Beauty,Health & Beauty,39.42,1.0,1.97,41.39,0.0,0.0,1/18/2024,Cash,8.4
178,178,Chicago,Chicago,Normal,Female,Electronics,Electronics,26.31,5.0,6.58,138.13,0.0,0.0,1/18/2024,Credit card,8.8
179,179,New York,New York,Normal,Male,Fashion & Accs,Fashion & Accs,60.74,7.0,21.26,446.44,0.0,0.0,1/18/2024,Ewallet,5.0
180,180,Los Angeles,Los Angeles,Normal,Male,Food & Beverages,Food & Beverages,19.79,8.0,7.92,166.24,0.0,0.0,1/18/2024,Ewallet,8.7
